Local Language,English,Translated_English
رقم الفاتورة/الفاتورة المبدئية/العقد,,Invoice/pro forma invoice/contract number
طبيعة التصدير,,Nature of export
طبيعة الاستيراد,,Nature of import
بلد المنشا,,Country of origin
وسيلة الدفع,,Means of payment
وسيلة الدفع,,Means of payment
شروط الدفع,,Payment terms
شروط الدفع,,Payment terms
غرض الاستراد,,Purpose of import
الغرض من الحوالة,,Purpose of the remittance
سبب الرفض,,Reason for rejection
عنوان المرسل,,Sender's address
اسم المرسل,,Sender's name
الرقم التعريف الإحصائي (NIS),,Statistical Identification Number (NIS)
عنوان المورد,,Supplier's address
اسم المورد,,Supplier's name
رقم التعريف الضريبي (NIF),,Tax Identification Number (NIF)
شروط,,Terms
المدة,,Period
يرجى الموافقه على الشروط بإختيار اشاره الصح في المربع أدناه .,,Please agree to the terms by selecting the check mark in the box below.
نسبة التفاوت,,Tolerance percentage
تاريخ الفاتورة/الفاتورة المبدئية/العقد,,Date of the invoice/proforma invoice/contract
تاريخ الطلب,,Application Date
نوع  التوطين,,Domiciliation Type
مقدم الطلب,,Applicant
رقم مرجع التوطين,,Domiciliation Reference Number
الرقم التعريف الإحصائي (NIS),,Statistical Identification Number (NIS)
نوع  التوطين,,Domiciliation Type
رقم التعريف الضريبي (NIF),,Tax Identification Number (NIF)
تعديل,,Amendment
الشيك,,Cheque
تعليمات التحصيل,,Collection Instructions
تعليمات التحصيل,,Collection Instructions
المستندات,,Documents
رئيسي,,Main
أخرى,,Other
الرقم الفرعي لحساب المصاريف,,Expense Account Sub-number
الرقم الفرعي لحساب التعهدات,,Commitments Account Sub-number
قيم القبول,,Acceptance Amounts
ارصدة القبول,,Acceptance Balances
تاريخ اشعار الاستلام,,Date of Acknowledgment of Receipt
اشعار الاستلام بواسطة,,Acknowledgment of Receipt by
قيمة القبول,,Acceptance amount
الاجراء المطلوب لاعادة السحب المقبول غير المدفوع,,Required action for re-draft of unpaid acceptance
اشعار عدم القبول بواسطة,,Advice of non-acceptance by
اشعار عدم الدفع بواسطة,,Advice of non-payment by
مصاريف التعديل على,,Amendment charges for account of
تفاصيل التعديل,,Amendment details
تاريخ التعديل,,Amendment date
تعليمات التعديل,,Amendment instructions
شهادة التحليل,,Certificate of analysis
الردود,,Responses
رمز الفرع / حساب العميل,,Branch code / customer account
اسم وعنوان طالب الاصدار,,Name and address of the applicant
رقم مرجع المستفيد/ رقم مرجع بنك المستفيد,,Beneficiary reference number / beneficiary bank reference number
عمولات التحصيل (المستفيد),,Collection commission (beneficiary)
المصاريف الاخرى (المستفيد),,Other charges (beneficiary)
الرقم الفرعي لحساب المستفيد (الساحب),,Beneficiary's sub-account number (drawer)
المصاريف الاجمالية(المستفيد),,Total charges (beneficiary)
شهادة المستفيد,,Beneficiary's certificate
شهادة المستفيد/ شهادة تفتيش,,Beneficiary's certificate / inspection certificate
عمولات التحصيل (غير المدفوعة من المستفيد),,Collection commission (not paid by the beneficiary)
المصاريف الاجمالية(غير مدفوعة من المستفيد),,Total charges (not paid by the beneficiary)
تعليمات الفاتورة,,Invoice instructions
بوليصة الشحن البحري,,Ocean Bill of Lading
بوليصة الشحن البحري/الجوي,,Ocean Bill of Lading/Air Waybill
بوليصة الشحن الجوي,,Air Waybill
بوليصة الشحن الجوي/شهادة الصحة,,Air Waybill/Health Certificate
شهادة المقاطعة,,Boycott Certificate
رمز الفرع / حساب العميل,,Branch code / customer account
رقم مرجع التسديد,,Payment reference number
الغاء ؟,,Cancel?
شهادة الوزن,,Weight Certificate
قيمة الشيك الاول,,Amount of the first cheque
قيمة الشيك الثاني,,Amount of the second cheque
قيمة الشيك الثالث,,Amount of the third cheque
عملة الشيك الاول,,Currency of the first cheque
عملة الشيك الثاني,,Currency of the second cheque
عملة الشيك الثالث,,Currency of the third cheque
تاريخ الشيك الاول,,Date of the first cheque
تاريخ الشيك الثاني,,Date of the second cheque
تاريخ الشيك الثالث,,Date of the third cheque
رقم الشيك الاول,,First cheque number
رقم الشيك الثاني,,Second cheque number
رقم الشيك الثالث,,Third cheque number
عملة حساب المصاريف,,Charges account currency
حساب العميل الدائن,,Customer credit account
الرقم الفرعي لحساب المصاريف,,Charges account sub-number
تاريخ استحقاق الشيك الاول / اسم البنك,,Maturity date of the first cheque / bank name
تاريخ استحقاق الشيك الثاني / اسم البنك,,Maturity date of the second cheque / bank name
تاريخ استحقاق الشيك الثالث / اسم البنك,,Maturity date of the third cheque / bank name
قيمة السحب (المطالب بها),,Draft amount (claimed)
قيمة تفاوت القبول (تحصيل),,Acceptance variance amount (collection)
رصيد تفاوت القبول (تحصيل),,Acceptance variance balance (collection)
قيمة التحصيل,,Collection amount
شهاة التحليل / نسخة,,Certificate of analysis / copy
شهاة التحليل / اصلية,,Certificate of analysis / original
رصيد التحصيل,,Collection balance
عنوان البنك المحصل,,Collecting bank address
عمولات البنك المحصل,,Collecting bank charges
عمولات البنك المحصل على,,Collecting bank charges on
اسم البنك المبلغ,,Name of the advising bank
رقم مرجع البنك المحصل,,Collecting bank reference number
رمز السويفت,,SWIFT code
الرمز التعريفي للبنك المبلغ,,Advising bank identification code
بوالص شحن / نسخة,,Bills of lading / copy
بوالص شحن / اصلية,,Bills of lading / original
قائمة المقاطعة / نسخة,,Boycott list / copy
قائمة المقاطعة / اصلية,,Boycott list / original
عملة التحصيل,,Collection currency
تاريخ انشاء التحصيل,,Collection creation date
تاريخ الحركة,,Transaction date
تخفيض التحصيل,,Collection reduction
السحب / نسخة,,Draft / copy
السحب / اصلي,,Draft / original
زيادة التحصيل,,Collection increase
الفاتورة / نسخة,,Invoice / copy
الفاتورة / اصلية,,Invoice / original
رقم مرجع التحصيل,,Collection reference number
رقم مرجع التبليغ,,Advice reference number
شهادة المنشأ / اصلية,,Certificate of origin / original
شهادة المنشأ / نسخة,,Certificate of origin / copy
مستندات اخرى / نسخة,,Other documents / copy
مستندات اخرى / اصلية,,Other documents / original
بيان التعبئة / نسخة,,Packing list / copy
بيان التعبئة / أصلي,,Packing list / original
قيمة الاطلاع ( تحصيل ),,Sight amount (collection)
رصيد الاطلاع ( تحصيل ),,Sight balance (collection)
نوع التحصيل,,Collection type
شهادة الباخرة / نسخة,,Vessel certificate / copy
شهادة الباخرة / اصلية,,Vessel certificate / original
شهادة الوزن / نسخة,,Weight certificate / copy
شهادة الوزن / اصلية,,Weight certificate / original
الوضع الحالي,,Current status
الحساب,,Account
عملة الدفع,,Payment currency
تبليغ العميل بواسطة,,Notify the customer by
رمز فرع العميل,,Customer branch code
اسم فرع العميل,,Customer branch name
رمز الفرع / حساب العميل,,Branch code / customer account
تعليمات العميل / المستندات الإضافية المطلوبة,,Customer instructions / additional documents required
رقم مرجعنا,,Our reference number
رقم مرجع العميل,,Customer reference number
مؤشر الخصم,,Discount indicator
مبلغ الخصم,,Discount amount
تسليم المستندات مقابل,,Release of documents against
قيمة المستندات,,Value of documents
المستندات المطلوب تقديمها,,Documents required to be presented
ارسال المستندات بواسطة,,Dispatch documents via
المستندات,,Documents
حساب قيد المصاريف,,Charges debit account
القيمة المقيدة على الحساب,,Amount debited to the account
السحب,,Draft
قيمة السحب (عملة التقديم),,Draft amount (presentation currency)
عنوان المسحوب عليه,,Drawee’s address
رقم حساب المسحوب عليه,,Drawee’s account number
اسم المسحوب عليه,,Drawee’s name
العنوان,,Address
عنوان المستفيد,,Beneficiary’s address
الاسم والعنوان,,Name and address
حساب مصاريف المستفيد,,Beneficiary’s charges account
عملة مصاريف المستفيد,,Beneficiary’s charges currency
الرقم الفرعي لحساب مصاريف المستفيد,,Beneficiary charges sub-account number
بنك المحصل (المستفيد),,Collecting bank (beneficiary)
رقم حساب المستفيد (الساحب),,Beneficiary (drawer) account number
اسم الساحب,,Name of the drawer
تاريخ حق الدفعة,,Payment entitlement date
تاريخ الاستحقاق,,Maturity date
سعر الصرف,,Exchange rate
تاريخ الانتهاء,,Expiry date
البريد الاول,,First mail
وصف البضائع,,Description of goods
تاريخ الوقت المتوقع لوصول البضائع,,Expected date/time of goods arrival
وسيلة النقل,,Mode of transport
احتفظ بالمستندات لحين وصول البضاعة,,Hold documents until arrival of goods
بوليصة التأمين,,Insurance policy
نسبة الفائدة,,Interest rate
قيمة الفائدة,,Interest amount
الفائدة مدفوعة بواسطة,,Interest paid by
الفاتورة,,Invoice
مصاريف البنك المصدر (عملة الاعتماد),,Issuing bank charges (credit currency)
تاريخ الاصدار,,Date of issue
عملة الاعتماد,,Credit currency
قيمة التحصيل (عملة محلية),,Collection amount (local currency)
العملة المحلية,,Local currency
تواريخ الاستحقاق,,Maturity dates
تفاصيل الدفعات المختلطة,,Mixed payment details
الرقم الفرعي الجديد لحساب التعهدات,,New sub-account number for the commitments account
تاريخ استحقاق القبول الجديد,,New acceptance maturity date
عنوان المسحوب عليه الجديد,,New drawee address
اسم المسحوب علية الجديد,,New drawee name
بوليصة شحن غير قابلة للتجيير,,Non-endorsable bill of lading
عدد الايام,,Number of days
قيمة بوليصة التحصيل القديمة,,Amount of the old collection bill
شهادة المنشأ,,Certificate of origin
شهادات اخرى,,Other certificates
التزامنا,,Our undertaking
بيان التعبئة,,Packing list
الدفع الجزئي مسموح به؟,,Is partial payment allowed?
تاريخ الدفع,,Payment date
شروط الدفع,,Payment terms
نوع الدفع,,Payment type
اسم وعنوان البنك المقدم,,Name and address of the presenting bank
حساب العوائد,,Proceeds account
الاحتجاج على,,Protest for
عملة الاستلام,,Currency of receipt
صافي القيمة المستلمة,,Net amount received
اسباب عدم الدفع,,Reasons for non-payment
سبب الرفض,,Reason for refusal
حالة الحركة لدى البنك,,Status of the transaction at the bank
البريد الثاني,,Second mail
قيمة الاطلاع,,Amount at sight
تعليمات خاصة,,Special instructions
تعليمات التسديد,,Settlement instructions
التسديد بواسطة,,Payment by
التخزين والتأمين على البضائع,,Storage and insurance of the goods
المدة ايام,,Term in days
المدة ايام / اشهر,,Term in days / months
تاريخ بدء احتساب المدة,,Date from which the term is calculated
نوع المدة,,Type of term
رقم مرجعهم,,Their reference number
المدة ايام / اشهر,,Term in days / months
تاريخ وثيقة الشحن الاولى,,Date of first transport document
تاريخ وثيقة الشحن الثانية,,Date of second transport document
رقم الفاتورة/امر الشراء,,Invoice/Purchase Order Number
رقم وثيقة الشحن الاولى,,First transport document number
رقم وثيقة الشحن الثانية,,Second transport document number
الشحن من,,Shipment from
الشحن الى,,Shipment to
طريق الشحن,,Route of shipment
تاريخ الطلب,,Order date
القيمة الاجمالية الواجب دفعها ( المستفيد),,Total amount payable (beneficiary)
اجمالي مصاريف الاتصالات غير المدفوعة ( عملة المصاريف),,Total unpaid communication charges (charges currency)
اجمالي التكاليف غير المدفوعة ( عملة المصاريف),,Total unpaid costs (charges currency)
القيمة الاجمالية القابلة للدفع,,Total payable amount
شهادة الباخرة,,Vessel certificate
اسم الباخرة/رقم الرحلة,,Vessel name/Flight number
التنازل عن مصاريف البنك المحصل اذا رفضت,,Waive collecting bank charges if refused
التنازل عن مصاريف البنك المحصل (نعم/لا),,Waive collecting bank charges (Yes/No)
التنازل عن مصاريف البنك المرسل (نعم/لا),,Waive remitting bank charges (Yes/No)
التنازل عن مصاريف البنك المرسل (نعم/لا),,Waive remitting bank charges (Yes/No)
البنك المحصل,,Collecting bank
رمز الفرع/ حساب العميل,,Branch code / Customer account
المسحوب عليه,,Drawee
الساحب,,Drawer
رئيسي,,Main
رقم مرجعنا,,Our reference number
قيمة التحصيل,,Collection amount
قيمة التحصيل,,Collection amount
اسم الساحب,,Drawer's name
المسحوب عليه,,Drawee
المسحوب عليه,,Drawee
عملة التحصيل,,Collection currency
رقم مرجع التحصيل,,Collection reference number
عملة التحصيل,,Collection currency
قيمة التحصيل,,Collection amount
تسليم المستندات مقابل,,Release documents against
تاريخ حق الدفعة,,Payment due date
الساحب,,Drawer
المسحوب عليه,,Drawee
رقم مرجع التحصيل,,Collection reference number
رقم مرجعنا,,Our reference number
المسحوب عليه,,Drawee
عملة التحصيل,,Collection currency
قيمة التحصيل,,Collection amount
الوضع الحالي,,Current status
رقم مرجع التحصيل,,Collection reference number
الساحب,,Drawer
رصيد التحصيل,,Collection balance
تاريخ حق الدفعة,,Payment maturity date
حالة الحركة لدى البنك,,Transaction status at the bank
تفاصيل التنازل,,Assignment details
تفاصيل التنازل,,Assignment details
تفاصيل التنازل,,Assignment details
تفاصيل التنازل,,Assignment details
البنك,,Bank
المصاريف,,Charges
عمولات,,Commissions
تفاصيل المستندات,,Document details
المستندات,,Documents
البضائع,,Goods
التعليمات,,Instructions
تفاصيل التعهدات,,Undertakings Details
رئيسي,,Main
ملاحظات,,Notes
أخرى,,Other
تفاصيل الاعتماد الاصلي الاخرى,,Other Original LC Details
جهات الاعتماد,,LC Parties
شروط الدفع,,Payment Terms
تفاصيل الشحن,,Shipment Details
تفاصيل الشحن,,Shipment Details
الشروط والاحكام,,Terms and Conditions
تفاصيل الاعتماد المحول,,Transferred LC Details
عموله للقبول غير المدفوعة(عملة المصاريف),,Unpaid acceptance commission (charges currency)
تاريخ القبول,,Acceptance Date
القيم الاضافية المغطاة (ان وجدت),,Additional Covered Amounts (if any)
الشروط الاضافية,,Additional Conditions
مصاريف البنك المقدم الاضافية,,Additional Presenting Bank Charges
الرمز التعريفي للبنك المبلغ,,Advising Bank Identifier Code
اسم البنك المبلغ,,Advising Bank Name
هل تم تبليغ /عدم تبليغ الاعتماد من البنك العربي,,Was the LC advised/not advised by Arab Bank
اشعار/اشعار مسبق العمولات,,Advice/Pre-advice of Commissions
تاريخ الاشعار,,Date of advice
رقم مرجع البنك المبلغ,,Advising bank reference number
رقم مرجع البنك,,Bank reference number
قيمة التعديل,,Amendment amount
قيمة التعديل المؤجل,,Deferred payment amendment amount
قيمة التعديل المؤجل متضمنا نسبة التفاوت,,Deferred payment amendment amount including tolerance percentage
قيمة التعديل الاطلاع,,At sight amendment amount
قيمة التعديل الاطلاع متضمنا نسبة التفاوت,,At sight amendment amount including tolerance percentage
قيمة التعديل متضمنا نسبة التفاوت,,Amendment amount including tolerance percentage
مصاريف التعديل,,Amendment charges
عمولات التعديل,,Amendment commissions
تفاصيل التعديل,,Amendment details
تاريخ التعديل,,Amendment date
مؤشر التعديل,,Amendment indicator
الاجابة على التعديل,,Response to the amendment
نوع التعديل,,Type of amendment
شهادة التحليل,,Certificate of Analysis
القواعد القابلة للتطبيق,,Applicable rules
اشعار/اشعار مسبق العمولات غير المدفوعة (طالب الاصدار),,Advice/Pre-advice of unpaid commissions (applicant)
عمولات التعديل غير مدفوعة (طالب الاصدار),,Unpaid amendment commissions (applicant)
قيمة العمولات الاجمالية,,Total commission amount
رمز دولة طالب الاصدار,,Applicant country code
طالب الاصدار,,Applicant
اسم وعنوان طالب الاصدار,,Name and address of the applicant
اجمالي مصاريف الاتصالات غير المدفوعة ( طالب الاصدار),,Total unpaid communication charges (applicant)
العمولات الاجمالية المدفوعه( طالب الاصدار),,Total commissions paid (applicant)
اجمالي التكاليف غير المدفوعة من طالب الاصدار,,Total unpaid charges by the applicant
المتنازل له,,Assignee
بنك المتنازل له,,Assignee's bank
رقم الحساب,,Account number
الاسم والعنوان,,Name and address
رمز السويفت,,SWIFT code
القيمة المتنازل عنها,,Assigned amount
الاسم والعنوان,,Name and address
رقم الحساب,,Account number
الاسم والعنوان,,Name and address
رمز السويفت,,SWIFT code
القيمة المتنازل عنها,,Assigned amount
الاسم والعنوان,,Name and address
رقم الحساب,,Account number
الاسم والعنوان,,Name and address
رمز السويفت,,SWIFT code
القيمة المتنازل عنها,,Assigned amount
الاسم والعنوان,,Name and address
رقم الحساب,,Account number
الاسم والعنوان,,Name and address
رمز السويفت,,SWIFT code
القيمة المتنازل عنها,,Assigned amount
الاسم والعنوان,,Name and address
متاح بـواسطة,,Available by
الاسم والعنوان,,Name and address
رمز السويفت,,SWIFT code
الرمز التعريفي,,Identification code
موافقة المستفيد المسبقة لتحويل,,Beneficiary’s prior consent to transfer
أي أو جميع التعديلات,,Any or all amendments
الوضع الحالي,,Current status
عنوان المستفيد,,Beneficiary address
عمولات البنك المبلغ مدفوعة (المستفيد),,Bank charges amount paid (beneficiary)
تبليغ المستفيد بواسطة,,Advise beneficiary by
اشعار/اشعار مسبق العمولات (المستفيد),,Advising/pre-advice charges (beneficiary)
اشعار/اشعار مسبق العمولات غير المدفوعة (المستفيد),,Advice/Pre-advice of unpaid commissions (beneficiary)
مصاريف التعديل على (المستفيد),,Amendment charges on (beneficiary)
عمولات التعديل (المستفيد),,Amendment commissions (beneficiary)
عمولات التعديل غير مدفوعة (المستفيد),,Unpaid amendment commissions (beneficiary)
وسيلة المراسلة,,Communication method
الاسم والعنوان,,Name and address
رقم مرجع المستفيد/ رقم مرجع بنك المستفيد,,Beneficiary reference number / beneficiary bank reference number
تاريخ مرجع المستفيد/ تاريخ مرجع بنك المستفيد,,Beneficiary reference date / beneficiary bank reference date
الرمز التعريفي,,Identification code
رمز فرع المستفيد,,Beneficiary branch code
اسم فرع العميل,,Customer branch name
اسم فرع العميل,,Customer branch name
قيمة العمولات الاجمالية,,Total commissions amount
مصاريف الالغاء (غير مدفوعة من المستفيد),,Cancellation charges (unpaid by the beneficiary)
عملة مصاريف المستفيد,,Currency of beneficiary charges
دولة المستفيد,,Beneficiary country
عمولة التعزيز على المستفيد,,Confirmation commission on the beneficiary
عمولة التعزيز غير مدفوعة من المستفيد,,Confirmation commission unpaid by the beneficiary
قيمة المستندات (المستفيد),,Value of documents (beneficiary)
صافي قيمة المستندات (المستفيد),,Net value of documents (beneficiary)
رقم الفاكس او البريد الالكتروني للمستفيد,,Beneficiary's fax number or email address
رمز فرع المستفيد/حساب العميل,,Beneficiary branch code / customer account
المستفيد,,Beneficiary
رمز الفرع / حساب العميل,,Branch code / customer account
لغة المستفيد,,Beneficiary's language
اسم المستفيد,,Beneficiary's name
المستفيد,,Beneficiary
ملاحظات المستفيد,,Beneficiary's remarks
المصاريف الاخرى (المستفيد),,Other charges (beneficiary)
المصاريف الاخرى غير المدفوعة (المستفيد),,Other unpaid charges (beneficiary)
رد المستفيد,,Beneficiary's response
الرقم الفرعي لحساب المستفيد,,Beneficiary's sub-account number
القيمة الاجمالية الواجب دفعها,,Total amount payable
اجمالي مصاريف الاتصالات ( المستفيد),,Total telecommunication charges (beneficiary)
اجمالي مصاريف الاتصالات المدفوعة من المستفيد (عملة محلية),,Total telecommunication charges paid by the beneficiary (local currency)
اجمالي مصاريف الاتصالات غير المدفوعة ( المستفيد),,Total unpaid telecommunication charges (beneficiary)
اجمالي مصاريف الاتصالات غير المدفوعة ( المستفيد),,Total unpaid telecommunication charges (beneficiary)
العمولات الاجمالية المدفوعه( المستفيد),,Total commissions paid (beneficiary)
العمولات الاجمالية المدفوعة من المستفيد ( عملة محلية),,Total commissions paid by the beneficiary (local currency)
العمولات الاجمالية غير المدفوعه( المستفيد),,Total unpaid commissions (beneficiary)
اجمالي التكاليف غير المدفوعة من المستفيد,,Total charges not payable by the beneficiary
اجمالي التكاليف المدفوعة من المستفيد,,Total charges payable by the beneficiary
اجمالي التكاليف غير المدفوعة من المستفيد,,Total charges not payable by the beneficiary
عمولة التداول (غير مدفوعة من المستفيد),,Negotiation commission (not payable by the beneficiary)
اجمالي التكاليف غير المدفوعة من المستفيد,,Total charges not payable by the beneficiary
شهادة المستفيد/ شهادة تفتيش,,Beneficiary’s certificate / Inspection certificate
بوليصة الشحن البحري,,Ocean bill of lading
البنك عزز,,Confirming bank
تعليمات التعزيز,,Confirmation instructions
التزام البنك العربي,,Arab Bank’s undertaking
معلومات البنك المصدر,,Issuing bank information
بوليصة الشحن الجوي/شهادة الصحة,,Air waybill / Health certificate
رمز الفرع,,Branch code
رقم التداول,,Negotiation number
رقم مرجع التسديد,,Payment reference number
قيمة العمولات الاجمالية,,Total value of commissions
شهادة الوزن,,Weight certificate
رقم الحساب الذي ستقيد عليه المصاريف,,Account number to be debited with the charges
عملة حساب المصاريف,,Charges account currency
رقم حساب المصاريف,,Charges account number
الرقم الفرعي لحساب المصاريف,,Expense account sub-number
اجمالي التكاليف غير المدفوعة من المستفيد ( عملة المصاريف),,Total unpaid charges by the beneficiary (expenses currency)
الرقم الفرعي للقيد على حساب المصاريف,,Sub-number for the posting to the expenses account
تفاصيل المصاريف,,Charge details
المصاريف,,Charges
المصاريف تدفع عند,,Charges payable at
المصاريف قابلة للدفع بواسطة,,Charges payable by
القيمة الاجمالية الواجب دفعها ( االمصاريف),,Total amount due (charges)
تاريخ تدقيق المستندات,,Date of document examination
عملة المطالبة,,Claim currency
قيمة السحب (المطالب بها),,Drawing amount (claimed)
رمز السويفت,,SWIFT code
عمولات التعزيز,,Confirmation commission
تعليمات التعزيز,,Confirmation instructions
رقم حساب التعهدات (قيد دائن),,Commitments account number (credit entry)
الوضع الحالي,,Current status
الحساب,,Account
تبليغ العميل بواسطة,,Advise the customer via
رمز الفرع / حساب العميل,,Branch code / customer account
تاريخ حق العميل,,Customer value date
قيمة تخفيض الاعتماد,,Amount of LC reduction
تعديل / تخفيض القيمة,,Amendment / amount reduction
تفاصيل الدفعة المؤجلة,,Deferred payment details
مكان وصول البضائع,,Place of arrival of goods
ميناء التفريغ,,Port of discharge
المخالفات,,Discrepancies
المخالفات المكتشفة,,Discrepancies found
تاريخ تبليغ المخافات,,Date of discrepancy notification
مؤشر الخصم,,Discount indicator
قيمة الخصم,,Discount amount
تعليمات التصرف بالمستندات,,Instructions for disposal of documents
قيمة المستندات,,Value of documents
القرار بخصوص المستندات,,Decision regarding the documents
المستندات المطلوب تقديمها,,Documents required to be presented
حالة المستندات,,Document status
المستندات,,Documents
المستندات المقدمة,,Presented documents
حساب قيد المصاريف,,Expense posting account
القيمة المقيدة على الحساب,,Amount posted to the account
رقم حساب التعهدات (قيد مدين),,Commitments account number (debit entry)
السحب,,Drawing
قيمة السحب (عملة التقديم),,Drawing amount (presentation currency)
قيد قيمة السحب للحساب الفرعي,,Credit the sub-account with the drawing amount
قيد قيمة السحب على الحساب الفرعي,,Debit the sub-account with the drawing amount
القيد لحساب تعهدات السحوبات,,Posting to the Drawings Undertakings account
رقم مرجع السحب,,Drawing reference number
السحب بعد,,Drawn after
رصيد السحوبات,,Drawings balance
رقم مرجع التداول,,Deal reference number
رقم التداول,,Deal number
الرمز التعريفي,,Identification code
الاسم والعنوان,,Name and address
الاسم,,Name
تاريخ حق الدفعة,,Payment entitlement date
انشئت بواسطة,,Created by
سعر عملة الاساس,,Base currency rate
سعر الصرف,,Exchange rate
شكل رسالة السويفت,,SWIFT message format
ملاحظات,,Remarks
تاريخ الانتهاء,,Expiry date
تاريخ الانتهاء,,Expiry date
مكان الانتهاء,,Place of expiry
الجهة الصادر باسمها,,Entity in whose name issued
نوع الاعتماد,,Type of letter of credit
نموذج الاعتماد,,Form of letter of credit
القيد لحساب الاستاذ العام,,Credit to general ledger account
القيد على حساب الاستاذ العام,,Debit to general ledger account
وصف البضائع,,Description of goods
البضائع,,Goods
قيمة زيادة الاعتماد,,Amount of letter of credit increase
تعديل / زيادة القيمة,,Amendment / increase of value
شروط التسليم,,Delivery terms
بوليصة التأمين,,Insurance policy
نسبة الفائدة,,Interest rate
قيمة الفائدة,,Interest amount
الفائدة مدفوعة بواسطة,,Interest paid by
الفاتورة,,Invoice
مصاريف البنك المصدر (عملة الاعتماد),,Issuing bank charges (letter of credit currency)
مصاريف البنك المصدر (محلي),,Issuing bank charges (local)
رمز دولة البنك المصدر,,Issuing bank country code
وسيلة المراسلة,,Correspondence method
قرار البنك المصدر,,Issuing bank decision
اسم البنك المصدر,,Name of issuing bank
الاسم والعنوان,,Name and address
رمز السويفت,,SWIFT code
الرمز التعريفي,,Identification code
نوع البنك المصدر,,Type of issuing bank
تاريخ الاصدار,,Date of issuance
آخر دفعة؟,,Last payment?
قيمة الاعتماد,,Credit amount
قيمة الاعتماد مؤجل,,Deferred credit amount
قيمة الاعتماد الاصلية,,Original credit amount
قيمة الاعتماد مع نسبة التفاوت (عملة الاساس),,Credit amount with tolerance (base currency)
قيمة الاعتماد اطلاع,,Sight credit amount
قيمة الاعتماد مع نسبة التفاوت,,Credit amount with tolerance
قيمة الاعتماد مع نسبة التفاوت (عملة الاساس),,Credit amount with tolerance (base currency)
رصيد الاعتماد,,Credit balance
عملة الاعتماد,,Credit currency
قيمة السحب (عملة الاعتماد),,Drawing amount (credit currency)
رقم الاعتماد,,Credit number
رقم اعتماد البنك المصدر,,Issuing bank L/C number
قيمة التقديم (عملة الاعتماد),,Presentation amount (L/C currency)
نوع الاعتماد,,Type of L/C
الرقم الفرعي لحساب التعهدات / دائن,,Contingent liabilities sub-account number / credit
